ID,old_ID,experiment_version,gram_ACC_mean,gram_RT_median,pragm_ACC_mean,pragm_RT_median
1350,1350,adult_trog,0.941176471,5.35824,0.833333333,9.7879525
1351,1351,adult_trog,1,4.420865,0.888888889,5.6795325
1352,1352,adult_trog,1,5.178725,0.833333333,5.79858
1353,1353,adult_trog,0.882352941,3.982945,0.833333333,7.1096825
1354,1354,adult_trog,1,3.788,0.833333333,4.2575
1356,1356,adult_trog,0.941176471,3.937585,0.777777778,8.36477
1357,1357,adult_trog,1,4.910705,0.666666667,4.903
1358,1358,adult_trog,1,4.33698,0.722222222,5.0287975
1359,1359,adult_trog,1,4.49252,0.888888889,6.48375
1360,1360,adult_trog,0.941176471,5.54578,0.777777778,6.670735
1361,1361,adult_trog,1,4.382185,0.944444444,5.688655
1362,1362,adult_trog,1,3.9957,0.833333333,4.3952
1363,1363,adult_trog,0.882352941,3.60406,0.944444444,4.3339075
1364,1364,adult_trog,0.823529412,4.630405,0.166666667,3.11033
1365,1365,adult_trog,1,3.664,0.666666667,4.3906
1367,1367,adult_trog,0.941176471,3.7296,0.888888889,4.3151875
1368,1368,adult_trog,0.882352941,4.253,0.888888889,6.137
1369,1369,adult_trog,0.941176471,4.263745,0.555555556,6.555835
1370,1370,adult_trog,0.823529412,5.906,0.5,7.27
1371,1371,adult_trog,1,3.887105,0.5,4.5991025
1372,1372,adult_trog,0.941176471,6.077705,0.944444444,9.7440375
1373,1373,adult_trog,1,3.7074,0.833333333,6.2505425
1374,1374,adult_trog,0.941176471,4.074025,0.888888889,5.94466
1375,1375,adult_trog,0.882352941,4.598725,0.888888889,5.730715
1376,1376,adult_trog,1,4.614475,0.5,5.010375
1377,1377,adult_trog,1,3.412355,0.777777778,4.3245425
1379,1379,adult_trog,1,3.984085,0.888888889,5.7695575
1380,1380,adult_trog,0.941176471,4.39809,0.888888889,5.6328625
1382,1382,adult_trog,1,4.882595,0.722222222,5.5308725
1383,1383,adult_trog,1,6.6251,0.833333333,4.8952
1918,1918,adult_trog,1,4.09534,0.722222222,4.77594
2001,2001,adult_trog,0.941176471,3.412535,0.777777778,3.826335
2002,2002,adult_trog,1,7.65574,0.611111111,12.0097025
2003,2003,adult_trog,1,4.563,0.777777778,4.474
2004,2004,adult_trog,1,4.252,0.666666667,5.798
2006,2006,adult_trog,0.941176471,4.56361,0.833333333,5.2916325
2007,2007,adult_trog,0.941176471,5.18977,0.833333333,7.5340875
2101,2101,adult_trog,0.941176471,4.01401,0.611111111,4.9320275
2102,2102,adult_trog,1,4.447905,0.722222222,5.085225
2103,2103,adult_trog,0.941176471,3.52631,0.944444444,4.08287
2201,2201,adult_trog,0.941176471,3.94943,0.611111111,4.2372525
2202,2202,adult_trog,0.941176471,4.377625,0.944444444,5.77129
2203,2203,adult_trog,0.882352941,3.74,0.666666667,3.927745
2204,2204,adult_trog,0.941176471,3.77454,0.944444444,6.1994675
2205,2205,adult_trog,1,5.501215,0.833333333,5.36333
2206,2206,adult_trog,1,4.122085,0.722222222,5.108745
2207,2207,adult_trog,0.882352941,4.05453,0.944444444,4.7069625
2208,2208,adult_trog,0.941176471,3.92492,0.888888889,5.432875
2210,2210,adult_trog,1,4.9779,0.944444444,5.303635
2211,2211,adult_trog,0.941176471,4.30966,0.888888889,5.3261525
